Year,Company,Category,Currency,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income,Pre-tax Income,Taxes,Net Income,Total Assets,Current Assets,Total Liabilities,Current Liabilities,Share Holder Equity,Cash,Debt,Beginning Cash,Ending Cash,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Earning Per Share,EBITDA
2016,Sable Enterprises,RETAIL,USD,4400.0,3368.0,1032.0,854.0,178.0,164.0,41.0,123.0,45300.0,12673.0,27200.0,13765.0,18100.0,3573.0,16496.0,3900.0,3573.0,126.0,-229.0,-224.0,0.2,427.0
2017,Sable Enterprises,RETAIL,USD,4510.0,3232.0,1278.0,941.0,337.0,315.0,79.0,236.0,44896.0,15435.0,26721.0,11139.0,18175.0,3463.0,17296.0,3573.0,3463.0,316.0,-336.0,-90.0,0.38,606.0
2018,Sable Enterprises,RETAIL,USD,4411.0,3218.0,1193.0,785.0,408.0,392.0,98.0,294.0,46529.0,15790.0,28173.0,11850.0,18356.0,3350.0,14698.0,3463.0,3350.0,418.0,-305.0,-226.0,0.48,684.0
2019,Sable Enterprises,RETAIL,USD,4448.0,3291.0,1157.0,893.0,264.0,243.0,61.0,182.0,46428.0,17182.0,27855.0,15057.0,18573.0,3250.0,20537.0,3350.0,3250.0,220.0,-136.0,-184.0,0.3,408.0
2020,Sable Enterprises,RETAIL,USD,4341.0,3189.0,1152.0,828.0,324.0,306.0,76.0,230.0,50309.0,22387.0,31600.0,13313.0,18709.0,3167.0,14872.0,3250.0,3167.0,208.0,-141.0,-150.0,0.37,599.0
2021,Sable Enterprises,RETAIL,USD,5160.0,3765.0,1395.0,817.0,578.0,536.0,134.0,402.0,51380.0,19138.0,32504.0,13689.0,18876.0,2989.0,16586.0,3167.0,2989.0,466.0,-352.0,-292.0,0.65,788.0
2022,Sable Enterprises,RETAIL,USD,5673.0,4369.0,1304.0,992.0,312.0,298.0,74.0,224.0,54254.0,21596.0,34978.0,12596.0,19276.0,2805.0,19087.0,2989.0,2805.0,307.0,-432.0,-59.0,0.36,666.0
2023,Sable Enterprises,RETAIL,USD,6112.0,4665.0,1447.0,1232.0,215.0,202.0,50.0,152.0,56924.0,16114.0,37450.0,16391.0,19474.0,2381.0,20113.0,2805.0,2381.0,147.0,-461.0,-110.0,0.25,659.0
2016,Vertex Industries,BANKING,USD,43100.0,21011.0,22089.0,14258.0,7831.0,7404.0,1851.0,5553.0,56200.0,18725.0,32600.0,11850.0,23600.0,2592.0,17475.0,450.0,2592.0,6376.0,-2247.0,-1987.0,6.07,10791.0
2017,Vertex Industries,BANKING,USD,49149.0,24187.0,24962.0,14747.0,10215.0,9597.0,2399.0,7198.0,64206.0,24078.0,36422.0,18022.0,27784.0,7092.0,17262.0,2592.0,7092.0,9348.0,-3521.0,-1327.0,7.87,12400.0
2018,Vertex Industries,BANKING,USD,56963.0,29046.0,27917.0,16503.0,11414.0,11098.0,2774.0,8324.0,67401.0,27346.0,34970.0,14932.0,32431.0,8222.0,18758.0,7092.0,8222.0,8365.0,-4770.0,-2465.0,9.1,15828.0
2019,Vertex Industries,BANKING,USD,65921.0,34265.0,31656.0,19839.0,11817.0,11557.0,2889.0,8668.0,77801.0,32033.0,39538.0,15363.0,38263.0,11285.0,23498.0,8222.0,11285.0,11269.0,-4948.0,-3258.0,9.47,14779.0
2020,Vertex Industries,BANKING,USD,72842.0,33280.0,39562.0,22973.0,16589.0,16121.0,4030.0,12091.0,85729.0,22415.0,38940.0,13853.0,46789.0,16663.0,21547.0,11285.0,16663.0,13570.0,-4096.0,-4096.0,13.21,19323.0
2021,Vertex Industries,BANKING,USD,71568.0,34003.0,37565.0,21634.0,15931.0,14784.0,3696.0,11088.0,95057.0,30084.0,38766.0,20498.0,56291.0,25811.0,26188.0,16663.0,25811.0,13930.0,-3779.0,-1003.0,12.12,21393.0
2022,Vertex Industries,BANKING,USD,77357.0,39327.0,38030.0,25202.0,12828.0,12047.0,3012.0,9035.0,104159.0,46313.0,36890.0,12540.0,67269.0,26928.0,26089.0,25811.0,26928.0,7932.0,-5478.0,-1337.0,9.87,18750.0
2023,Vertex Industries,BANKING,USD,86178.0,38355.0,47823.0,26672.0,21151.0,19293.0,4823.0,14470.0,116683.0,46554.0,40880.0,22316.0,75803.0,32770.0,29160.0,26928.0,32770.0,12528.0,-5803.0,-883.0,15.81,24157.0
2016,Lumen Technologies,ENERGY,USD,25800.0,20029.0,5771.0,2619.0,3152.0,2909.0,727.0,2182.0,76500.0,29881.0,37700.0,14801.0,38800.0,1057.0,26874.0,800.0,1057.0,3004.0,-1566.0,-1181.0,0.89,4479.0
2017,Lumen Technologies,ENERGY,USD,25120.0,19044.0,6076.0,3255.0,2821.0,2631.0,658.0,1973.0,79736.0,28427.0,39214.0,15879.0,40522.0,1638.0,20285.0,1057.0,1638.0,2704.0,-1832.0,-291.0,0.8,4343.0
2018,Lumen Technologies,ENERGY,USD,30327.0,24184.0,6143.0,2458.0,3685.0,3459.0,865.0,2594.0,84262.0,36504.0,42448.0,14200.0,41814.0,2049.0,20790.0,1638.0,2049.0,2844.0,-1808.0,-625.0,1.06,4952.0
2019,Lumen Technologies,ENERGY,USD,32038.0,25970.0,6068.0,2724.0,3344.0,3151.0,788.0,2363.0,84377.0,24293.0,40076.0,20780.0,44301.0,3003.0,22098.0,2049.0,3003.0,2729.0,-755.0,-1020.0,0.96,4983.0
2020,Lumen Technologies,ENERGY,USD,32545.0,26670.0,5875.0,3399.0,2476.0,2415.0,604.0,1811.0,84383.0,33657.0,38194.0,20254.0,46189.0,3061.0,17543.0,3003.0,3061.0,2028.0,-912.0,-1058.0,0.74,3480.0
2021,Lumen Technologies,ENERGY,USD,38222.0,28539.0,9683.0,4909.0,4774.0,4377.0,1094.0,3283.0,84221.0,25935.0,36523.0,12502.0,47698.0,2238.0,20948.0,3061.0,2238.0,3148.0,-3060.0,-911.0,1.34,6630.0
2022,Lumen Technologies,ENERGY,USD,40487.0,31749.0,8738.0,3373.0,5365.0,4930.0,1232.0,3698.0,90036.0,28527.0,39485.0,15038.0,50551.0,3984.0,23052.0,2238.0,3984.0,4955.0,-2452.0,-757.0,1.51,8002.0
2023,Lumen Technologies,ENERGY,USD,45969.0,36854.0,9115.0,4130.0,4985.0,4549.0,1137.0,3412.0,97539.0,42640.0,44488.0,15137.0,53051.0,3479.0,32738.0,3984.0,3479.0,2998.0,-2475.0,-1028.0,1.39,8496.0
2016,Northwind Labs,IT,USD,50600.0,32105.0,18495.0,10863.0,7632.0,6949.0,1737.0,5212.0,64500.0,21115.0,27400.0,8646.0,37100.0,5029.0,13319.0,2050.0,5029.0,6510.0,-1042.0,-2489.0,6.4,9647.0
2017,Northwind Labs,IT,USD,60256.0,35683.0,24573.0,14334.0,10239.0,9460.0,2365.0,7095.0,69090.0,19999.0,28275.0,11208.0,40815.0,9512.0,16922.0,5029.0,9512.0,9401.0,-2150.0,-2768.0,8.72,12627.0
2018,Northwind Labs,IT,USD,62017.0,36291.0,25726.0,13873.0,11853.0,10828.0,2707.0,8121.0,76993.0,29985.0,29957.0,11457.0,47036.0,12964.0,16733.0,9512.0,12964.0,8747.0,-3908.0,-1387.0,9.98,16327.0
2019,Northwind Labs,IT,USD,63844.0,40633.0,23211.0,13709.0,9502.0,8898.0,2224.0,6674.0,81646.0,35916.0,28793.0,13632.0,52853.0,17271.0,13694.0,12964.0,17271.0,9232.0,-2413.0,-2512.0,8.2,11744.0
2020,Northwind Labs,IT,USD,60388.0,36121.0,24267.0,14887.0,9380.0,8749.0,2187.0,6562.0,90690.0,23524.0,32569.0,12684.0,58121.0,18416.0,17865.0,17271.0,18416.0,7558.0,-3401.0,-3012.0,8.06,11994.0
2021,Northwind Labs,IT,USD,70539.0,45410.0,25129.0,15980.0,9149.0,8533.0,2133.0,6400.0,98926.0,41067.0,35558.0,11460.0,63368.0,18432.0,22711.0,18416.0,18432.0,6943.0,-3701.0,-3226.0,7.86,13835.0
2022,Northwind Labs,IT,USD,84613.0,49505.0,35108.0,16694.0,18414.0,17123.0,4281.0,12842.0,102721.0,45885.0,33351.0,16139.0,69370.0,25422.0,18344.0,18432.0,25422.0,17186.0,-7461.0,-2735.0,15.78,23057.0
2023,Northwind Labs,IT,USD,96707.0,59952.0,36755.0,19026.0,17729.0,16842.0,4210.0,12632.0,114293.0,41322.0,36733.0,13723.0,77560.0,26526.0,27362.0,25422.0,26526.0,11831.0,-5423.0,-5304.0,15.52,24499.0
2016,Fairmont Corporation,LOGISTICS,USD,84600.0,67545.0,17055.0,12096.0,4959.0,4678.0,1170.0,3508.0,24600.0,9911.0,6200.0,2304.0,18400.0,4305.0,4606.0,8700.0,4305.0,3218.0,-3234.0,-4379.0,12.66,8548.0
2017,Fairmont Corporation,LOGISTICS,USD,84239.0,65011.0,19228.0,13746.0,5482.0,5253.0,1313.0,3940.0,27333.0,7641.0,5953.0,2655.0,21380.0,4036.0,3906.0,4305.0,4036.0,4667.0,-2811.0,-2125.0,14.22,10307.0
2018,Fairmont Corporation,LOGISTICS,USD,98062.0,72240.0,25822.0,16654.0,9168.0,8969.0,2242.0,6727.0,31036.0,8657.0,6029.0,2966.0,25007.0,2781.0,2807.0,4036.0,2781.0,7216.0,-3661.0,-4810.0,24.29,13642.0
2019,Fairmont Corporation,LOGISTICS,USD,108650.0,79641.0,29009.0,15941.0,13068.0,12251.0,3063.0,9188.0,36228.0,14434.0,6458.0,2820.0,29770.0,825.0,3605.0,2781.0,825.0,10564.0,-6398.0,-6122.0,33.17,17860.0
2020,Fairmont Corporation,LOGISTICS,USD,120748.0,89218.0,31530.0,20199.0,11331.0,10769.0,2692.0,8077.0,43333.0,11721.0,6823.0,2515.0,36510.0,467.0,4583.0,825.0,467.0,9253.0,-7661.0,-1950.0,29.16,17666.0
2021,Fairmont Corporation,LOGISTICS,USD,139187.0,105937.0,33250.0,17351.0,15899.0,14760.0,3690.0,11070.0,50586.0,18231.0,6697.0,3335.0,43889.0,960.0,3248.0,467.0,960.0,11993.0,-9131.0,-2369.0,39.96,24119.0
2022,Fairmont Corporation,LOGISTICS,USD,158441.0,120439.0,38002.0,26702.0,11300.0,10684.0,2671.0,8013.0,60340.0,20644.0,6524.0,2280.0,53816.0,-8558.0,2990.0,960.0,-8558.0,6838.0,-14083.0,-2273.0,28.93,19567.0
2023,Fairmont Corporation,LOGISTICS,USD,182311.0,134236.0,48075.0,25386.0,22689.0,21307.0,5327.0,15980.0,66553.0,23677.0,6201.0,2275.0,60352.0,962.0,3320.0,-8558.0,962.0,22096.0,-10598.0,-1978.0,57.69,35347.0
2016,Cobalt Corporation,MANUFACTURING,USD,87700.0,62885.0,24815.0,15278.0,9537.0,9312.0,2328.0,6984.0,78500.0,20647.0,45700.0,15341.0,32800.0,9643.0,24082.0,8150.0,9643.0,9514.0,-3863.0,-4158.0,82.16,15043.0
2017,Cobalt Corporation,MANUFACTURING,USD,101459.0,73934.0,27525.0,17605.0,9920.0,9702.0,2426.0,7276.0,90839.0,33555.0,52026.0,18760.0,38813.0,10527.0,31363.0,9643.0,10527.0,9947.0,-4061.0,-5002.0,85.6,17048.0
2018,Cobalt Corporation,MANUFACTURING,USD,118852.0,82881.0,35971.0,16697.0,19274.0,18480.0,4620.0,13860.0,102374.0,31395.0,56972.0,28319.0,45402.0,18296.0,41580.0,10527.0,18296.0,19555.0,-8033.0,-3753.0,163.06,24318.0
2019,Cobalt Corporation,MANUFACTURING,USD,122837.0,86253.0,36584.0,19308.0,17276.0,16026.0,4006.0,12020.0,117622.0,42580.0,59301.0,24901.0,58321.0,23697.0,35378.0,18296.0,23697.0,16459.0,-4985.0,-6073.0,141.41,21982.0
2020,Cobalt Corporation,MANUFACTURING,USD,118624.0,83381.0,35243.0,19754.0,15489.0,14421.0,3605.0,10816.0,126656.0,39328.0,57732.0,19720.0,68924.0,25607.0,42298.0,23697.0,25607.0,14457.0,-7321.0,-5226.0,127.25,22376.0
2021,Cobalt Corporation,MANUFACTURING,USD,144426.0,104781.0,39645.0,24006.0,15639.0,14972.0,3743.0,11229.0,140880.0,53692.0,62830.0,28587.0,78050.0,23971.0,34688.0,25607.0,23971.0,11148.0,-7534.0,-5250.0,132.11,20779.0
2022,Cobalt Corporation,MANUFACTURING,USD,139686.0,99762.0,39924.0,21393.0,18531.0,17331.0,4333.0,12998.0,157047.0,45352.0,70265.0,33268.0,86782.0,22695.0,37593.0,23971.0,22695.0,14473.0,-11346.0,-4403.0,152.92,29305.0
2023,Cobalt Corporation,MANUFACTURING,USD,163265.0,112419.0,50846.0,28655.0,22191.0,20316.0,5079.0,15237.0,165447.0,48940.0,68613.0,22083.0,96834.0,29233.0,48468.0,22695.0,29233.0,20580.0,-5930.0,-8112.0,179.26,33103.0
2016,Ironwood Holdings,PHARMA,USD,54900.0,31925.0,22975.0,13889.0,9086.0,8319.0,2080.0,6239.0,48400.0,16025.0,24900.0,10920.0,23500.0,10845.0,12861.0,5900.0,10845.0,7330.0,-1783.0,-602.0,2.81,12158.0
2017,Ironwood Holdings,PHARMA,USD,62116.0,32847.0,29269.0,18272.0,10997.0,10689.0,2672.0,8017.0,51042.0,17988.0,23274.0,9078.0,27768.0,15235.0,10649.0,10845.0,15235.0,8420.0,-2196.0,-1834.0,3.61,15690.0
2018,Ironwood Holdings,PHARMA,USD,64018.0,32782.0,31236.0,18664.0,12572.0,11982.0,2996.0,8986.0,61446.0,21105.0,25788.0,10861.0,35658.0,22984.0,16479.0,15235.0,22984.0,11053.0,-1311.0,-1993.0,4.05,15053.0
2019,Ironwood Holdings,PHARMA,USD,75091.0,43625.0,31466.0,23009.0,8457.0,7749.0,1937.0,5812.0,71388.0,24797.0,27939.0,10116.0,43449.0,24431.0,16749.0,22984.0,24431.0,6521.0,-2400.0,-2674.0,2.62,13107.0
2020,Ironwood Holdings,PHARMA,USD,85219.0,49056.0,36163.0,23613.0,12550.0,11838.0,2960.0,8878.0,74527.0,29844.0,26672.0,11487.0,47855.0,22842.0,17236.0,24431.0,22842.0,10010.0,-6992.0,-4607.0,4.0,15736.0
2021,Ironwood Holdings,PHARMA,USD,82521.0,45602.0,36919.0,24157.0,12762.0,11905.0,2976.0,8929.0,82114.0,31700.0,26745.0,12382.0,55369.0,23176.0,19599.0,22842.0,23176.0,9223.0,-5413.0,-3476.0,4.03,18042.0
2022,Ironwood Holdings,PHARMA,USD,81839.0,43115.0,38724.0,24891.0,13833.0,12731.0,3183.0,9548.0,91313.0,39182.0,29366.0,8941.0,61947.0,27091.0,19941.0,23176.0,27091.0,10679.0,-5894.0,-870.0,4.3,18096.0
2023,Ironwood Holdings,PHARMA,USD,88597.0,49215.0,39382.0,24397.0,14985.0,14490.0,3622.0,10868.0,104785.0,32983.0,33343.0,10203.0,71442.0,32097.0,21043.0,27091.0,32097.0,13955.0,-7503.0,-1446.0,4.9,18270.0
2016,Lumen Group,RETAIL,USD,62700.0,45918.0,16782.0,12815.0,3967.0,3853.0,963.0,2890.0,34400.0,9676.0,4400.0,1509.0,30000.0,-534.0,3263.0,650.0,-534.0,4077.0,-1573.0,-3688.0,2.23,8535.0
2017,Lumen Group,RETAIL,USD,66034.0,48714.0,17320.0,12395.0,4925.0,4518.0,1130.0,3388.0,36726.0,11076.0,4237.0,1503.0,32489.0,-5594.0,2888.0,-534.0,-5594.0,3922.0,-5726.0,-3256.0,2.61,9688.0
2018,Lumen Group,RETAIL,USD,67952.0,52731.0,15221.0,13611.0,1610.0,1515.0,379.0,1136.0,39132.0,11925.0,4498.0,2015.0,34634.0,-11899.0,2693.0,-5594.0,-11899.0,1186.0,-3642.0,-3849.0,0.88,3653.0
2019,Lumen Group,RETAIL,USD,66411.0,49245.0,17166.0,13860.0,3306.0,3106.0,776.0,2330.0,40026.0,16801.0,4500.0,2194.0,35526.0,-13168.0,2949.0,-11899.0,-13168.0,3057.0,-2214.0,-2112.0,1.8,7355.0
2020,Lumen Group,RETAIL,USD,72673.0,54507.0,18166.0,13278.0,4888.0,4767.0,1192.0,3575.0,41610.0,12833.0,4360.0,1672.0,37250.0,-18811.0,3105.0,-13168.0,-18811.0,3531.0,-6444.0,-2730.0,2.76,9050.0
2021,Lumen Group,RETAIL,USD,77815.0,56650.0,21165.0,14298.0,6867.0,6539.0,1635.0,4904.0,44213.0,11683.0,4214.0,2217.0,39999.0,-23150.0,2866.0,-18811.0,-23150.0,4981.0,-6193.0,-3127.0,3.78,12029.0
2022,Lumen Group,RETAIL,USD,89056.0,64421.0,24635.0,18003.0,6632.0,6166.0,1542.0,4624.0,48243.0,17299.0,4689.0,2040.0,43554.0,-29671.0,3355.0,-23150.0,-29671.0,4094.0,-5682.0,-4933.0,3.57,13516.0
2023,Lumen Group,RETAIL,USD,89746.0,66251.0,23495.0,17010.0,6485.0,6073.0,1518.0,4555.0,51019.0,14984.0,4551.0,1387.0,46468.0,-35940.0,2421.0,-29671.0,-35940.0,6481.0,-7817.0,-4933.0,3.51,12899.0
2016,Northwind Enterprises,BANKING,USD,9900.0,4950.0,4950.0,3191.0,1759.0,1636.0,409.0,1227.0,46500.0,13506.0,40400.0,18830.0,6100.0,8277.0,19992.0,7300.0,8277.0,1568.0,-434.0,-157.0,0.66,2366.0
2017,Northwind Enterprises,BANKING,USD,11043.0,4993.0,6050.0,3174.0,2876.0,2695.0,674.0,2021.0,49975.0,19617.0,42676.0,14531.0,7299.0,9988.0,31108.0,8277.0,9988.0,2589.0,-634.0,-244.0,1.09,3725.0
2018,Northwind Enterprises,BANKING,USD,13188.0,6473.0,6715.0,4311.0,2404.0,2219.0,555.0,1664.0,54858.0,18624.0,45598.0,16766.0,9260.0,10958.0,25342.0,9988.0,10958.0,1859.0,-336.0,-553.0,0.9,3095.0
2019,Northwind Enterprises,BANKING,USD,15422.0,7342.0,8080.0,5126.0,2954.0,2867.0,717.0,2150.0,58360.0,20159.0,47968.0,15383.0,10392.0,11734.0,30958.0,10958.0,11734.0,2944.0,-1288.0,-880.0,1.16,3727.0
2020,Northwind Enterprises,BANKING,USD,18129.0,9009.0,9120.0,5807.0,3313.0,3080.0,770.0,2310.0,57120.0,23178.0,45081.0,23325.0,12039.0,13124.0,20661.0,11734.0,13124.0,2441.0,-471.0,-580.0,1.25,4379.0
2021,Northwind Enterprises,BANKING,USD,21678.0,10892.0,10786.0,7338.0,3448.0,3149.0,787.0,2362.0,65475.0,23609.0,51327.0,15898.0,14148.0,14108.0,29384.0,13124.0,14108.0,2881.0,-1089.0,-808.0,1.28,4159.0
2022,Northwind Enterprises,BANKING,USD,26393.0,13721.0,12672.0,8000.0,4672.0,4484.0,1121.0,3363.0,68477.0,29953.0,52799.0,18633.0,15678.0,16044.0,26599.0,14108.0,16044.0,4684.0,-2184.0,-564.0,1.82,6584.0
2023,Northwind Enterprises,BANKING,USD,27428.0,13187.0,14241.0,8999.0,5242.0,4803.0,1201.0,3602.0,77892.0,33653.0,60125.0,31775.0,17767.0,17261.0,29703.0,16044.0,17261.0,4001.0,-2256.0,-528.0,1.94,6673.0
2016,Vantage Group,ENERGY,USD,75400.0,61119.0,14281.0,8415.0,5866.0,5488.0,1372.0,4116.0,47300.0,14332.0,19400.0,8090.0,27900.0,1708.0,11116.0,450.0,1708.0,5274.0,-1787.0,-2229.0,23.79,10183.0
2017,Vantage Group,ENERGY,USD,83050.0,66801.0,16249.0,10625.0,5624.0,5180.0,1295.0,3885.0,51853.0,18898.0,20105.0,10917.0,31748.0,-29.0,9279.0,1708.0,-29.0,5157.0,-3961.0,-2933.0,22.46,9568.0
2018,Vantage Group,ENERGY,USD,95809.0,76705.0,19104.0,10352.0,8752.0,8547.0,2137.0,6410.0,55148.0,16890.0,19669.0,6344.0,35479.0,1518.0,10438.0,-29.0,1518.0,9007.0,-3098.0,-4362.0,37.05,15494.0
2019,Vantage Group,ENERGY,USD,112473.0,86537.0,25936.0,9521.0,16415.0,15970.0,3992.0,11978.0,60512.0,17022.0,19188.0,7422.0,41324.0,8786.0,11709.0,1518.0,8786.0,16774.0,-6491.0,-3015.0,69.24,21634.0
2020,Vantage Group,ENERGY,USD,122938.0,92997.0,29941.0,15754.0,14187.0,12981.0,3245.0,9736.0,70840.0,24156.0,20385.0,6361.0,50455.0,1060.0,14072.0,8786.0,1060.0,9405.0,-10594.0,-6537.0,56.28,21006.0
2021,Vantage Group,ENERGY,USD,119018.0,95689.0,23329.0,16539.0,6790.0,6362.0,1590.0,4772.0,81033.0,22112.0,22426.0,9642.0,58607.0,-6224.0,15306.0,1060.0,-6224.0,4598.0,-10305.0,-1577.0,27.58,12364.0
2022,Vantage Group,ENERGY,USD,127015.0,97250.0,29765.0,17250.0,12515.0,12029.0,3007.0,9022.0,85553.0,25770.0,23861.0,8131.0,61692.0,-5434.0,16264.0,-6224.0,-5434.0,12698.0,-8430.0,-3478.0,52.15,16892.0
2023,Vantage Group,ENERGY,USD,154255.0,114589.0,39666.0,13039.0,26627.0,25885.0,6471.0,19414.0,93842.0,36020.0,24010.0,9133.0,69832.0,-6023.0,16191.0,-5434.0,-6023.0,19133.0,-11801.0,-7921.0,112.22,32360.0
2016,Vertex Holdings,IT,USD,78200.0,48970.0,29230.0,16621.0,12609.0,11926.0,2982.0,8944.0,66500.0,18545.0,33600.0,12335.0,32900.0,3921.0,23577.0,5500.0,3921.0,8128.0,-6833.0,-2874.0,8.86,15595.0
2017,Vertex Holdings,IT,USD,80134.0,49914.0,30220.0,18207.0,12013.0,11631.0,2908.0,8723.0,75349.0,19724.0,36864.0,17265.0,38485.0,6450.0,19486.0,3921.0,6450.0,9618.0,-4618.0,-2471.0,8.64,15310.0
2018,Vertex Holdings,IT,USD,90594.0,56109.0,34485.0,18963.0,15522.0,14983.0,3746.0,11237.0,83167.0,22032.0,38122.0,18346.0,45045.0,8069.0,25192.0,6450.0,8069.0,11205.0,-7019.0,-2567.0,11.13,21379.0
2019,Vertex Holdings,IT,USD,100520.0,65078.0,35442.0,20758.0,14684.0,13869.0,3467.0,10402.0,91588.0,29251.0,39738.0,15307.0,51850.0,9294.0,21792.0,8069.0,9294.0,13114.0,-8142.0,-3747.0,10.3,20229.0
2020,Vertex Holdings,IT,USD,104953.0,63135.0,41818.0,20960.0,20858.0,20026.0,5006.0,15020.0,98928.0,30980.0,39185.0,20427.0,59743.0,18372.0,26506.0,9294.0,18372.0,18233.0,-4863.0,-4292.0,14.87,24115.0
2021,Vertex Holdings,IT,USD,120231.0,74570.0,45661.0,27607.0,18054.0,17554.0,4388.0,13166.0,113125.0,38846.0,38501.0,16176.0,74624.0,23145.0,18801.0,18372.0,23145.0,13393.0,-4593.0,-4027.0,13.04,25096.0
2022,Vertex Holdings,IT,USD,132024.0,80840.0,51184.0,30736.0,20448.0,18640.0,4660.0,13980.0,123454.0,42866.0,37166.0,15574.0,86288.0,37092.0,20538.0,23145.0,37092.0,19367.0,-3904.0,-1516.0,13.84,26122.0
2023,Vertex Holdings,IT,USD,145620.0,84571.0,61049.0,33518.0,27531.0,25795.0,6449.0,19346.0,135809.0,46305.0,38497.0,12656.0,97312.0,54158.0,28574.0,37092.0,54158.0,27845.0,-5097.0,-5682.0,19.15,39095.0
2016,Orion Systems,LOGISTICS,USD,62600.0,45169.0,17431.0,7777.0,9654.0,8903.0,2226.0,6677.0,81100.0,22202.0,42900.0,15124.0,38200.0,938.0,23211.0,650.0,938.0,7098.0,-3398.0,-3412.0,9.17,12250.0
2017,Orion Systems,LOGISTICS,USD,65259.0,47159.0,18100.0,9036.0,9064.0,8278.0,2070.0,6208.0,90073.0,32355.0,46921.0,17999.0,43152.0,4187.0,30593.0,938.0,4187.0,7833.0,-1983.0,-2601.0,8.53,13102.0
2018,Orion Systems,LOGISTICS,USD,79202.0,57169.0,22033.0,12057.0,9976.0,9222.0,2306.0,6916.0,96413.0,30510.0,48877.0,17231.0,47536.0,5232.0,35754.0,4187.0,5232.0,6566.0,-2143.0,-3378.0,9.5,13603.0
2019,Orion Systems,LOGISTICS,USD,88932.0,68290.0,20642.0,12700.0,7942.0,7472.0,1868.0,5604.0,99283.0,41573.0,45825.0,18586.0,53458.0,1838.0,33257.0,5232.0,1838.0,5423.0,-5221.0,-3596.0,7.7,11711.0
2020,Orion Systems,LOGISTICS,USD,84823.0,61430.0,23393.0,9829.0,13564.0,13012.0,3253.0,9759.0,107280.0,30739.0,48725.0,20420.0,58555.0,4976.0,27338.0,1838.0,4976.0,9084.0,-2395.0,-3551.0,13.41,17300.0
2021,Orion Systems,LOGISTICS,USD,90480.0,71356.0,19124.0,10962.0,8162.0,7644.0,1911.0,5733.0,121382.0,37692.0,53389.0,23826.0,67993.0,3325.0,29277.0,4976.0,3325.0,5150.0,-1907.0,-4894.0,7.88,14162.0
2022,Orion Systems,LOGISTICS,USD,110174.0,80338.0,29836.0,18701.0,11135.0,10496.0,2624.0,7872.0,128920.0,49061.0,55798.0,21797.0,73122.0,1782.0,37237.0,3325.0,1782.0,7740.0,-6142.0,-3141.0,10.81,15361.0
2023,Orion Systems,LOGISTICS,USD,133626.0,98402.0,35224.0,18904.0,16320.0,14888.0,3722.0,11166.0,142441.0,56076.0,62902.0,31297.0,79539.0,7488.0,28629.0,1782.0,7488.0,11800.0,-3352.0,-2742.0,15.34,24525.0
2016,Northwind Holdings,MANUFACTURING,USD,85400.0,58376.0,27024.0,12660.0,14364.0,13125.0,3281.0,9844.0,25900.0,10602.0,6400.0,2381.0,19500.0,6664.0,4187.0,1350.0,6664.0,12972.0,-3034.0,-4624.0,3.34,19504.0
2017,Northwind Holdings,MANUFACTURING,USD,100245.0,67173.0,33072.0,16772.0,16300.0,15922.0,3980.0,11942.0,34285.0,8976.0,6848.0,2238.0,27437.0,14266.0,4005.0,6664.0,14266.0,12082.0,-2149.0,-2331.0,4.06,21982.0
2018,Northwind Holdings,MANUFACTURING,USD,99856.0,71646.0,28210.0,13839.0,14371.0,14064.0,3516.0,10548.0,45763.0,15301.0,6660.0,2408.0,39103.0,16388.0,4282.0,14266.0,16388.0,11214.0,-5426.0,-3666.0,3.58,17617.0
2019,Northwind Holdings,MANUFACTURING,USD,116618.0,86842.0,29776.0,21677.0,8099.0,7732.0,1933.0,5799.0,56214.0,20293.0,6750.0,2415.0,49464.0,13933.0,3236.0,16388.0,13933.0,8295.0,-7744.0,-3006.0,1.97,12269.0
2020,Northwind Holdings,MANUFACTURING,USD,125987.0,87069.0,38918.0,19313.0,19605.0,18470.0,4618.0,13852.0,61944.0,25393.0,6842.0,2304.0,55102.0,25168.0,5046.0,13933.0,25168.0,17802.0,-4098.0,-2469.0,4.71,29084.0
2021,Northwind Holdings,MANUFACTURING,USD,142528.0,97196.0,45332.0,21450.0,23882.0,22558.0,5640.0,16918.0,70562.0,20742.0,7080.0,2331.0,63482.0,32414.0,3322.0,25168.0,32414.0,17547.0,-4951.0,-5350.0,5.75,30733.0
2022,Northwind Holdings,MANUFACTURING,USD,151418.0,110466.0,40952.0,20998.0,19954.0,18907.0,4727.0,14180.0,86330.0,25148.0,7725.0,3774.0,78605.0,32961.0,4922.0,32414.0,32961.0,13393.0,-4068.0,-8778.0,4.82,25155.0
2023,Northwind Holdings,MANUFACTURING,USD,157023.0,115138.0,41885.0,25422.0,16463.0,15302.0,3826.0,11476.0,96515.0,28369.0,8083.0,3730.0,88432.0,26750.0,5716.0,32961.0,26750.0,10567.0,-10970.0,-5808.0,3.9,28735.0
2016,Quarry Systems,PHARMA,USD,46200.0,26431.0,19769.0,13454.0,6315.0,5846.0,1462.0,4384.0,32100.0,9662.0,13900.0,5390.0,18200.0,2979.0,6668.0,2000.0,2979.0,4610.0,-2777.0,-854.0,3.25,9923.0
